Business Name,Phone,Email,Website,City,ZIP,Google Category,Rating,Reviews,Source Search,Qualification Status,Qualification Reason,Service Type,Confidence,Primary Region,City/Location Note,Ownership Type,Ownership Confidence,Ownership Notes,Outreach Priority,Priority Reason,Data Status,Google Maps URL
Mo's Hauling,(720) 340-8144,junk@moshauling.co,https://www.moshauling.co/,,,Junk removal service,5,86,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Mo's%20Hauling\&query\_place\_id=ChIJAwbrWCPujkQRjiYt-Mw-N70
Moore Stump Removal,(720) 361-5541,info@moorestumpremoval.com,http://www.moorestumpremoval.com/,,,Waste management service,4.9,34,Both,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Moore%20Stump%20Removal\&query\_place\_id=ChIJGTs6EVqNbq8RwrRIQsgfoaY
Moose and Bear Excavation,(970) 889-1643,mooseandbearconstruction@gmail.com,https://www.mooseandbearconstruction.com/,,,Demolition contractor,4.7,15,Commercial Dumpster Rental,Not Qualified,Business name indicates non-dumpster service,N/A,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Moose%20and%20Bear%20Excavation\&query\_place\_id=ChIJJSXnL\_JTaYcRCitQEGkkkyE
Mountain Dumpster,(720) 768-8395,keith@mountaindumpster.com,https://mountaindumpster.com/,,,Dumpster rental service,5,42,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Mountain%20Dumpster\&query\_place\_id=ChIJ\_wVOpL9qDUwRI3J6k1Tw1XY
Pam and Dan's Hauling,(719) 527-9988,pamanddanshauling@gmail.com,https://www.pamanddanshauling.com/,,,Waste management service,4.2,18,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Pam%20and%20Dan's%20Hauling\&query\_place\_id=ChIJ3xKYSJxDE4cRpGDJrDW71p0
Prime 8 Hauling \,Dumpster Roll Off Rentals,(720) 422-4151,becky.ortegon@prime8hauling.com,https://www.prime8hauling.com/,,,Dumpster rental service,5,25,Maybe,Business name suggests dumpster/hauling; category unclear,Possible Dumpster Rental,Low,Unknown/Statewide,https://www.prime8hauling.com/,Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,Roll Off Dumpster Rental
Prime Roll Off Systems,(720) 822-5332,Info@primerolloffsystems.com,https://primerolloffsystems.com/,,,Dumpster rental service,5,7,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Prime%20Roll%20Off%20Systems\&query\_place\_id=ChIJpXFAv3iIhkURkxie4aN3n\_g
Razorback Roll-Off,(719) 747-4744,service@razorbackrolloff.com,https://razorbackrolloff.com/,,,Waste management service,4.4,13,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Razorback%20Roll-Off\&query\_place\_id=ChIJ87O1JrZHE4cRSA1YT9Ud7dc
RC Waste Solutions,(719) 357-7931,rcwastesolutions@gmail.com,https://rcwastesolutionsco.com/,,,Dumpster rental service,5,19,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=RC%20Waste%20Solutions\&query\_place\_id=ChIJUyTPT2KqYGQRG3WIg-wpA3Y
redbox+ Dumpsters of Colorado Springs,(719) 212-9007,ctholen@redboxplus.com; info@redboxplus.com,https://www.redboxplus.com/colorado-springs/,,,Dumpster rental service,5,17,Both,Qualified,Known franchise dumpster brand + category/name match,Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,Colorado Springs (from name),Franchise/National Brand,High,Known franchise brand name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=redbox%2B%20Dumpsters%20of%20Colorado%20Springs\&query\_place\_id=ChIJr2cL\_2lOT6IRuq0NtmlmvyM
redbox+ Dumpsters of Denver South Metro,(720) 679-1630,ggavrilis@redboxplus.com,https://redboxplus.com/denver-south-metro/?utm\_campaign=gmb,,,Dumpster rental service,4.9,161,Both,Qualified,Known franchise dumpster brand + category/name match,Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Franchise/National Brand,High,Known franchise brand name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=redbox%2B%20Dumpsters%20of%20Denver%20South%20Metro\&query\_place\_id=ChIJxdsKw8x5bIcRyA-xYojdkAc
"Reliable Roll-Off's, LLC",(720) 908-7290,info@dumprolloff.com,https://dumprolloff.com/,,,Dumpster rental service,,,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Reliable%20Roll-Off's%2C%20LLC\&query\_place\_id=ChIJuRmnP9wFeg4R8cCBh1vMuPU
Rhino Roll Off Dumpster Rental,(720) 300-0529,eric@rhinorolloffdumpsterrental.com; info@dumpsterrolloffnearme.com,https://www.rhinorolloffdumpsterrental.com/,,,Dumpster rental service,5,62,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Rhino%20Roll%20Off%20Dumpster%20Rental\&query\_place\_id=ChIJM51NbAhHTkQRMclqDBO9Ezc
Rock'n Roll-Offs,(719) 659-5785,rocknrolloffsltd@gmail.com,http://www.rocknrolloffs.com/,,,Waste management service,4.9,79,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Rock'n%20Roll-Offs\&query\_place\_id=ChIJE0SU8z5PE4cRUs2ygPpDzSA
"RonSon Rolloffs, LLC",(970) 623-6074,RonSonRolloffs@icloud.com,https://www.ronsonrolloffs.com/,,,Waste management service,5,13,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=RonSon%20Rolloffs%2C%20LLC\&query\_place\_id=ChIJNzCYdXpLiWYRmtIB9G62VVY
Rugged Roll-Offs,(303) 641-6004,info@ruggedrolloffs.com,https://www.ruggedrolloffs.com/,,,Waste management service,5,3,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Rugged%20Roll-Offs\&query\_place\_id=ChIJLRUGrQcpJycRjVIma7831Gs
Sasquatch Your Junk,(970) 575-1629,nate@sasquatchyourjunk.com,https://sasquatchyourjunk.com/,,,Junk removal service,5,44,Both,Not Qualified,No qualifying dumpster/roll-off signals found,N/A,Low,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Sasquatch%20Your%20Junk\&query\_place\_id=ChIJv8KAMqLZcokRMcQCBdbGQf8
Step Up Disposals,(970) 888-1414,info@stepuprolloffs.com,https://stepupdisposals.com/,,,Waste management service,4.7,43,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Step%20Up%20Disposals\&query\_place\_id=ChIJt\_RiwDFrlYIRwCyyNZesqvE
Summit Forged Waste Solutions,(970) 652-3992,contact@summitforgedws.com,https://summitforgedws.com/,,,Dumpster rental service,5,8,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Summit%20Forged%20Waste%20Solutions\&query\_place\_id=ChIJNaG\_g1dkJYwRCrs\_jeSRgZo
Summit VIP Trash Services,(970) 778-1009,summitvipllc@yahoo.com,http://www.summitvipllc.com/,,,Waste management service,5,83,Roll Off Dumpster Rental,Not Qualified,Business name indicates non-dumpster service,N/A,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Summit%20VIP%20Trash%20Services\&query\_place\_id=ChIJn2E720xdaocRp\_x0UPSJ65o
Summit Waste & Recycling,(303) 500-1422,support@summitwasteco.com,http://www.summitwasteco.com/,,,Waste management service,4.7,29,Both,Not Qualified,Business name indicates non-dumpster service,N/A,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Summit%20Waste%20%26%20Recycling\&query\_place\_id=ChIJtT1QFDpzbIcRkT5FWHreUZQ
The Junk Trunk,(303) 815-0467,scheduling@thejunktrunkco.com,https://thejunktrunkco.com/,,,Dumpster rental service,4.9,1548,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=The%20Junk%20Trunk\&query\_place\_id=ChIJpbSDmrN9bIcRLXoidvnHQUI
Thomas Roll Offs,(719) 232-6110,chris@thomasrolloffs.com,https://thomasrolloffscs.wixsite.com/rolloffs,,,Dumpster rental service,5,9,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Thomas%20Roll%20Offs\&query\_place\_id=ChIJqZLviCNYFSQRxeH5W2G2dsw
TNR Waste Services,(720) 598-0499,support@tnrwaste.com,https://tnrwaste.com/,,,Dumpster rental service,,,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=TNR%20Waste%20Services\&query\_place\_id=ChIJF8gjSLZ124MRMEk9xakkjPk
Trash Daddy Dumpster Rentals,(719) 249-8825,info@trashdaddydumpsters.com; chad@trashdaddydumpsters.com; paul@trashdaddydumpsters.com,https://trashdaddydumpsters.com/dumpster-rentals-colorado/colorado-springs/,,,Dumpster rental service,5,38,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Daddy%20Dumpster%20Rentals\&query\_place\_id=ChIJW4odGStjGk0RGv90-W7N1J4
Trash Daddy Dumpster Rentals,(970) 893-8188,chad@trashdaddydumpsters.com; paul@trashdaddydumpsters.com; info@trashdaddydumpsters.com,https://trashdaddydumpsters.com/dumpster-rentals-colorado/fort-collins/,,,Dumpster rental service,4.8,52,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Daddy%20Dumpster%20Rentals\&query\_place\_id=ChIJv04u3WizbocRUjHxxc0\_bfI
Trash Daddy Dumpster Rentals,(303) 785-6515,chad@trashdaddydumpsters.com; paul@trashdaddydumpsters.com; info@trashdaddydumpsters.com,https://trashdaddydumpsters.com/dumpster-rentals-colorado/longmont,,,Dumpster rental service,5,38,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Daddy%20Dumpster%20Rentals\&query\_place\_id=ChIJvzQjcXP7a4cRQYmHW\_baXA4
Trash Daddy Dumpster Rentals,(720) 674-0055,chad@trashdaddydumpsters.com; paul@trashdaddydumpsters.com; info@trashdaddydumpsters.com,https://trashdaddydumpsters.com/dumpster-rentals-colorado/arvada/,,,Dumpster rental service,5,68,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Daddy%20Dumpster%20Rentals\&query\_place\_id=ChIJ3aj\_sCDXpSMREJEXca5Y0kc
Trash Daddy Dumpster Rentals,(720) 262-7700,info@trashdaddydumpsters.com; chad@trashdaddydumpsters.com; paul@trashdaddydumpsters.com,https://trashdaddydumpsters.com/dumpster-rentals-colorado/aurora/,,,Dumpster rental service,5,65,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Daddy%20Dumpster%20Rentals\&query\_place\_id=ChIJ\_8ONvrPcdkERCjqaaI9OY6k
Urban Waste & Hauling Solutions,(970) 829-6469,info@urbanwasteandhauling.com,https://urbanwasteandhauling.com/,,,Garbage collection service,,,Roll Off Dumpster Rental,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Urban%20Waste%20%26%20Hauling%20Solutions\&query\_place\_id=ChIJRZvsskLBRUgR6XaJLuBvyA0
Veteran Disposal (Mile High Dump & Haul),(970) 239-1890,jose@milehighdumpsters.com,http://www.veterandisposal.net/,,,Dumpster rental service,5,15,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Northern Colorado,(970 area code — N.CO or W.Slope),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Veteran%20Disposal%20(Mile%20High%20Dump%20%26%20Haul)\&query\_place\_id=ChIJGzqXral8LkYRiI7jmG7jPf8
Vets Move Junk,(800) 530-9767,info@vetsmovejunk.com,https://www.vetsmovejunk.com/,,,Garbage collection service,5,2,Both,Not Qualified,Disqualifying Google category: Garbage collection service,N/A,High,Unknown/Statewide,City not listed,Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Vets%20Move%20Junk\&query\_place\_id=ChIJHXIZdxXk80MRK5FKc4kDHWA
We R Trash Inc.,(215) 317-7444,werusatrash@gmail.com,http://www.wertrash.com/,,,Waste management service,5,4,Commercial Dumpster Rental,Maybe,"""Waste management service"" category — may include roll-off",Possible Waste/Dumpster,Low,Unknown/Statewide,City not listed,Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=We%20R%20Trash%20Inc.\&query\_place\_id=ChIJU\_kAYbVhpAwRsrHfxkf3vcs
Western Slope Junk Removal,(970) 209-3546,westernslopejunkremoval@gmail.com,http://westernslopejunkremoval.com/,,,Waste management service,5,169,Commercial Dumpster Rental,Maybe,Waste management category + qualifying name — roll-off unconfirmed,Possible Dumpster/Hauling,Medium,Northern Colorado,(970 area code — N.CO or W.Slope),Regional Independent,Medium,State/regional branding in business name,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Western%20Slope%20Junk%20Removal\&query\_place\_id=ChIJQfBr35JbP4cRs0v8wzmeIWg
Westland Rolloffs,(719) 492-8046,Westlandrolloffs@gmail.com,https://westlandrolloffsco.com/,,,Dumpster rental service,5,10,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,CO Springs/Pikes Peak,(719 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Westland%20Rolloffs\&query\_place\_id=ChIJB0iRbBwDnwUROsLtUH0un4g
Work Horse Hauling,(303) 838-1461,workhorsehauling@gmail.com,https://www.workhorsehauling.com/,,,Dumpster rental service,5,3,Roll Off Dumpster Rental,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,(303/720 area code),Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Work%20Horse%20Hauling\&query\_place\_id=ChIJURAGc210a4cRvopi\_wMbwm0
Bin There Dump That Denver West,(720) 524-3727,denverwest@bintheredumpthat.com,https://www.bintheredumpthat.com/denver-west-dumpster-rentals/,Arvada,80003,Dumpster rental service,4.9,338,Both,Qualified,Known franchise dumpster brand + category/name match,Roll-Off Dumpster Rental,High,Denver Metro,Arvada,Franchise/National Brand,High,Known franchise brand name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Bin%20There%20Dump%20That%20Denver%20West\&query\_place\_id=ChIJsUmSl2KIa4cRrLH9mVWS-yc
Construction Roll-Off \,Dumpster Rentals,(720) 664-8664,info@constructionrolloff.com,https://www.constructionrolloff.com/,Arvada,"6783 Fig St \#101, Arvada, CO 80004",Waste management service,5,76,Maybe,Business name suggests dumpster/hauling; category unclear,Possible Dumpster Rental,Low,Unknown/Statewide,https://www.constructionrolloff.com/,Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,Both
Massie Dumpster Rental Arvada,(720) 636-8866,sales@massiedumpsterrental.com,https://massiedumpsterrental.com/arvada-co/,Arvada,80004,Waste management service,5,6,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Arvada,Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Massie%20Dumpster%20Rental%20Arvada\&query\_place\_id=ChIJK4kvVAIHbIcRjdrVFvej3YQ
redbox+ Dumpsters of Northwest Denver,(720) 664-7410,denverNWsales@redboxplus.com; info@redboxplus.com,https://www.redboxplus.com/denver-nw/,Arvada,80007,Dumpster rental service,5,68,Both,Qualified,Known franchise dumpster brand + category/name match,Roll-Off Dumpster Rental,High,Denver Metro,Arvada,Franchise/National Brand,High,Known franchise brand name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=redbox%2B%20Dumpsters%20of%20Northwest%20Denver\&query\_place\_id=ChIJ9cuEJ3LFKyMR4Mfh9BrQh-c
Total Disposal,(303) 659-3333,info@totaldisposalofdenver.com,https://www.totaldisposalofdenver.com/,Arvada,80002,Dumpster rental service,4.8,293,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,Arvada,Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Total%20Disposal\&query\_place\_id=ChIJVVUFtFmPa4cR6KvBUGUA71c
Blue Ribbon Dumpsters,(303) 502-8242,Ralph@BlueRibbonDumpsters.net,https://blueribbondumpsters.net/,Aurora,80015,Dumpster rental service,5,24,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Blue%20Ribbon%20Dumpsters\&query\_place\_id=ChIJebY2K4IafmYR\_hMNaValCOc
Countrywide Dumpster Rental Aurora,(720) 573-1622,sales@countrywidedumpsterrental.com,https://www.countrywidedumpsterrental.com/aurora-co,Aurora,80011,Waste management service,4.5,2,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Countrywide%20Dumpster%20Rental%20Aurora\&query\_place\_id=ChIJu5Vn\_OSLbIcR-XC5HsvggiU
Curbside Roll-Off,(303) 343-7096,info@curbsideco.com; info@curbsidedatacontrol.com; bill@curbsideco.com,http://curbsideco.com/,Aurora,80011,Waste management service,4.4,79,Both,Not Qualified,Business name indicates non-dumpster service,N/A,High,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,D,Disqualified — not a roll-off dumpster rental provider,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Curbside%20Roll-Off\&query\_place\_id=ChIJyd0cj3JjbIcRR4XtAWhrLXc
Cut Rate Hauling Trash & Junk Removal,(720) 434-8042,info@cutratejunk.com,https://cutratejunk.com/,Aurora,80011,Debris removal service,4.9,43,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Cut%20Rate%20Hauling%20Trash%20%26%20Junk%20Removal\&query\_place\_id=ChIJQ4LwNzBjbIcRSproOxwfL1M
Pride N Service Junk Removal Colorado,(720) 345-3847,pridenservice@gmail.com,https://www.pridenservicejunk.net/?utm\_source=google\&utm\_medium=organic\&utm\_campaign=google\_business\_profile,Aurora,80013,Waste management service,5,688,Roll Off Dumpster Rental,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Aurora,Regional Independent,Medium,State/regional branding in business name,A,Qualified + email + strong reviews (4.5+/30+ or 100+) + local/regional ownership,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Pride%20N%20Service%20Junk%20Removal%20Colorado\&query\_place\_id=ChIJqQa8A5p5a4cRsC5IT43jm1Q
Roll Off America Aurora Colorado,(720) 785-4001,rolloffamericallc@gmail.com,http://rolloffamericadumpsters.com/,Aurora,80013,Dumpster rental service,4.6,9,Both,Qualified,"""Dumpster rental service"" category + roll-off search source",Roll-Off Dumpster Rental,High,Denver Metro,Aurora,Regional Independent,Medium,State/regional branding in business name,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Roll%20Off%20America%20Aurora%20Colorado\&query\_place\_id=ChIJE3YgcwGJbIcRu4\_Pq0hKd\_Q
Trash Panda,(720) 509-9782,Customercare@denvertrashpanda.com,https://denvertrashpanda.com/,Aurora,80013,Waste management service,5,4,Roll Off Dumpster Rental,Maybe,Appeared in roll-off search; name/category inconclusive,Possible Roll-Off Rental,Low,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,C,Maybe classification + email — verify roll-off service before outreach,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Trash%20Panda\&query\_place\_id=ChIJ487wevvRn2oRRzy5nb4hth4
Wheelie Werx Dumpster Rentals LLC,(720) 571-3105,info@wheeliewerx.com,http://www.wheeliewerx.com/,Aurora,80016,Waste management service,5,27,Both,Qualified,Roll-off search source + qualifying business name,Roll-Off Dumpster Rental,Medium,Denver Metro,Aurora,Local Independent,Low,Single-location branding; ownership not independently confirmed,B,Qualified + email contact available,Public listing — not yet confirmed by provider,https://www.google.com/maps/search/?api=1\&query=Wheelie%20Werx%20Dumpster%20Rentals%20LLC\&query\_place\_id=ChIJQeDxgVwGvigRgWaYEu0-M8E
